game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2014020427,19,home,WIN,REG,Ken Hitchcock,4,8,14,10,2,2,57.7,5,13
2014020671,20,away,LOSS,OT,Bob Hartley,2,5,27,4,2,0,47.1,14,5
2014020671,28,home,WIN,OT,Todd McLellan,3,5,15,4,2,1,52.9,20,13
2014020217,23,away,TIE,SO,Willie Desjardins,1,8,22,14,3,0,49.3,13,5
2014020217,24,home,TIE,SO,Bruce Boudreau,1,7,29,18,1,1,50.7,12,6
2014021215,7,away,TIE,REG,Ted Nolan,2,6,30,2,3,1,39.3,3,5
2014021215,29,home,TIE,REG,Todd Richards,2,10,21,6,1,0,60.7,7,9
2014021045,30,away,WIN,OT,Mike Yeo,3,5,21,8,0,0,57.1,6,9
2014021045,18,home,LOSS,OT,Peter Laviolette,2,6,21,0,4,0,42.9,7,5
2014021063,1,away,WIN,REG,Adam Oates,3,6,16,8,2,0,54.3,2,4
2014021063,7,home,LOSS,REG,Ted Nolan,1,7,29,4,4,1,45.7,7,4
2014020902,25,away,TIE,REG,Lindy Ruff,2,7,12,6,3,0,50,10,4
2014020902,52,home,TIE,REG,Paul Maurice,2,6,20,6,3,1,50,13,11
2014020444,30,away,TIE,SO,Mike Yeo,3,8,28,8,3,2,42.4,3,5
2014020444,53,home,TIE,SO,Dave Tippett,3,7,40,8,3,1,57.6,3,5
2014020827,1,away,LOSS,REG,Adam Oates,1,5,13,6,2,1,42.4,13,7
2014020827,18,home,WIN,REG,Peter Laviolette,3,9,13,6,2,0,57.6,9,12
2014021105,5,away,LOSS,REG,Mike Johnston,2,7,24,10,3,0,48.4,7,15
2014021105,12,home,WIN,REG,Bill Peters,3,7,35,8,3,1,51.6,8,21
2014020576,6,away,TIE,SO,Claude Julien,1,5,42,11,1,0,52.8,9,8
